Nombre de la Institución o Empresa,Sector,Entidad Federativa
DESARROLLOS Y PROYECTOS TECNOLOGICOS DE SALTILLO S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
"ABASTECEDORA RIMOVA, S.A. DE C.V.",SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"SALSA TEPICOR DE NAYARIT, S.A. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NAYARIT
GRUPO INDUSTRIAL DETESI S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
CARBOGAS DE MÉXICO SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,NUEVO LEON 
"SISTEMAS AEREOS DE ANALISIS DE AVANZADA, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
GOBIERNO DEL ESTADO DE MICHOACAN / COMISIÓN FORESTAL DEL ESTADO,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,MICHOACAN 
INGENIERIA Y CONSTRUCCION GOMEZ & GOMEZ SA DE CV,CONSTRUCCION,JALISCO
"JM TROQUELADOS, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
DESARROLLO PROTEC S.A DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
INDETEC NUEVA ROSITA S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
INDUSTRIAS MEXSTARCH S A. P. I. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NUEVO LEON 
"ASOCIACION DE INGENIEROS PETROLEROS DE MEXICO, A.C.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
ESCONAMI CONSTRUCCIONES S.A. DE C.V.,CONSTRUCCION,ESTADO DE MEXICO
"RENDIMIENTOS PROTEICOS, S.A. DE C.V.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,SINALOA
"UNIVERSIDAD INTERNACIONAL JEFFERSON, S.A. DE C.V.",SERVICIOS EDUCATIVOS,MICHOACAN 
"POCKET DE LATINOAMERICA, S.A.P.I. DE C.V.",SERVICIOS FINANCIEROS Y DE SEGUROS,JALISCO
GALAZ SCIENCE AND ENGINEERING SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SONORA
MAS IGUAL A.C.,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DURANGO
SECRETARIA DE SALUD / INSTITUTO NACIONAL DE GERIATRIA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
SKYWORKS SOLUTIONS DE MEXICO S. DE R.L. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,BAJA CALIFORNIA
"DENDROPHARM, S.C.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",QUERETARO
QUÍMICA PUMEX S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
TERMOINNOVA S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,DISTRITO FEDERAL
INTELIGENCIA AVANZADA EN DESARROLLO ESTRATÉGICO ADMINISTRATIVO S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
PLANMEDIA MEX S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"CELULOSA Y CORRUGADOS DE SONORA, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",SONORA
EQUIPOS MEDICOS VIZCARRA SA,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,MORELOS
HONEYWELL PRODUCTOS AUTOMOTRICES S.A DE C.V,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,BAJA CALIFORNIA
SMK ELECTRONICA S.A. DE C.V,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,BAJA CALIFORNIA
HIDRONICA SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,DISTRITO FEDERAL
HONEYWELL OPTOELECTRONICA S. DE R.L. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,CHIHUAHUA
INTERNATIONAL STAPLE MACHINE SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
ASOCIACIÓN GANADERA LOCAL ESPECIALIZADA PARA EL FOMENTO Y LA EXPLOTACIÓN PECUARIA DE LAGOS DE MORENO,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,JALISCO
PROVEEDORA DE INSUMOS AGROPECUARIOS Y SERVICIOS S.A DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
"AGROQUÍMICA SUSTENTABLE, S. DE R.L. DE C.V.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,PUEBLA
UNION AGRICOLA LOCAL DE VITICULTORES DE FRESNILLO S. DE P.R. DE R.L.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,ZACATECAS
CAJAS ACUSTICAS DEL NORTE S.C. DE R.L DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",COAHUILA
K-TRONIX S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
CALZADOS ESPECIALIZADOS S.A  DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
"MEXHON, S DE R. L. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,BAJA CALIFORNIA
DISTRIBUIDORA DE EQUIPOS DE PERFORACION SA DE CV,CONSTRUCCION,JALISCO
VISION VIDEA COMUNICACIONES S. DE R.L. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
"MEXICANA DE INGENIERIA Y MAQUINARIA, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,QUERETARO
ISLAVEL S.A. DE C.V.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,PUEBLA
CLASE APARTE S.A DE C.V,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,HIDALGO
UNIVERSIDAD LOYOLA DEL PACIFICO A C,SERVICIOS EDUCATIVOS,GUERRERO 
"AEROSPACE SOLUTIONS DE MÉXICO, S. DE R.L. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
BIOMAR PRODUCTOS MARINOS S DE RL DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",BAJA CALIFORNIA SUR 
OL INVEST SAPI DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
GUAYCAN QUIMICOS Y PETROLIFEROS S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",BAJA CALIFORNIA
"NANOMATERIALES, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
COMPUTO Y REDES RATOMO S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
"CAMPECHE PRODUCE, S.A. DE C.V.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,CAMPECHE
"NGN, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
"EVOLUCION DE SISTEMAS MOVIL, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CAMPECHE
AMBAR ROJO STUDIOS S.A DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIAPAS
GIBSA SA DE CV,COMERCIO AL POR MAYOR,YUCATAN
TILAPIA AZUL ACUACULTURA SPR DE RL,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,TABASCO
"FORWARD LEARNING DEVELOPMENT, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
FABRICA DE ASAS METALICAS DE LOS ALTOS SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
EQUIPOS PARA REDES ELECTRICAS DEL CENTRO S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,GUANAJUATO
"POLÍMERO Y MATERIAS PRIMAS INTERNACIONALES, SA DE CV","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
"TECNICENTRO ROYAL, S.A DE C.V.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,BAJA CALIFORNIA
S.P.R. DE R.I. BUSTAMANTE PARRA Y ASOCIADOS,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,SONORA
"JADE ORE MINING, S.A. DE C.V.",MINERIA,DISTRITO FEDERAL
COLEGIO MEXICANO DE REUMATOLOGIA AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
AGMEL S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NUEVO LEON 
ONDORE LABS SAPI DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
CENTRO INCUBADOR Y ACELERADOR DE EMPRESAS DE TECNOLOGIAS DE INFORMACION DE GOMEZ PALACIO SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DURANGO
RECICLA.LO S.A DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",GUANAJUATO
"TURBOMAQUINARIA QUERETARO, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,QUERETARO
NEKUTLI SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",JALISCO
"ILEY, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,MORELOS
"A&L COMUNICACION, S.A. DE C.V.",COMERCIO AL POR MAYOR,MICHOACAN 
"HONEYWELL AEROSPACE DE MÉXICO, S. DE R.L. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,BAJA CALIFORNIA
"""HG SOLAR""  S.A DE C.V",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MORELOS
SYSTEM SENSOR DE MEXICO S DE RL DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,CHIHUAHUA
VALVULAS URREA S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
IMAGENOLOGÍA DENTAL DEL SURESTE S. DE R.L. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
"ESYSTEMS DE MEXICO, S. R. L. DE C. V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
"LARVA STUDIOS, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
"CONTRALORÍA CIUDADANA PARA LA RENDICIÓN DE CUENTAS, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
MUJERES EN FRECUENCIA AC,INFORMACION EN MEDIOS MASIVOS,DISTRITO FEDERAL
DIABETIC CENTER MILENIO S.A. DE C.V.,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,BAJA CALIFORNIA
"LIQUIDTEK, S.A. DE C.V.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,NUEVO LEON 
"TECNOLOGÍAS EN INFORMACIÓN DEL NORTE, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
LABORATORIOS VANQUISH S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",MORELOS
CICAINTE S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,HIDALGO
MANGUITO APPS S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
PROCAZUCAR SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,VERACRUZ
JC COMERCIALIZADORA Y DISTRIBUIDORA SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
EISBERG TECNOLOGIA APLICADA S.A DE C.V,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,NUEVO LEON 
"M SUPPLY DE MEXICO, S.A. DE C.V.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,NUEVO LEON 
"REGIO MARMOL, SA DE CV",MINERIA,DURANGO
HUF MEXICO S. DE R.L. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,PUEBLA
DESARROLLADORA DE NEGOCIOS QUID NOVI SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
VORTEX NETWORK SC,COMERCIO AL POR MENOR,ZACATECAS
"TECHNOLOGY & EQUIPMENT FOR HEALTH, SA DE CV",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,PUEBLA
IADE ENERGÍA INTELIGENTE S.A DE C.V.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,ZACATECAS
"INTEGRA SOLUCIONES INFORMATICAS, SA DE CV",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
TECNOLOGICO DE ESTUDIOS SUPERIORES DE SAN FELIPE DEL PROGRESO,SERVICIOS EDUCATIVOS,ESTADO DE MEXICO
INSTITUTO TECNOLOGICO SUPERIOR DE LERDO,SERVICIOS EDUCATIVOS,DURANGO
"PATRONATO MUSEO SOL DEL NIÑO, A.C.",SERVICIOS EDUCATIVOS,BAJA CALIFORNIA
"INDUSTRIAS CLORO ALCALI, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
TALIXCO S.C. DE R.L. DE C.V,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,VERACRUZ
AGROPECUARIA SANFANDILA SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,JALISCO
TRANSPARQUE SA DE CV,CONSTRUCCION,SAN LUIS POTOSI
CORPORACION NIVA S.A DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",QUERETARO
"INGENIERIA Y EQUIPOS AMBIENTALES, S.A. DE C.V.",CONSTRUCCION,DISTRITO FEDERAL
ACADEMIA DE CATALISIS A.C.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
"TENERIA DUEÑAS DEL CENTRO, S.A. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
"INDUSTRIAS NORM, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,PUEBLA
"SOCIEDAD HISPANOAMERICANA DE ACTUARIOS EN DESARROLLO E INVESTIGACION SOCIAL, SHADIS, S.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
BIOCOMPONENTES DEL CENTRO S. DE R.L. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",SAN LUIS POTOSI
"CENTRO DE INNOVACION EN TECNOLOGIA DE LA CONSTRUCCION DEL ESTADO DE GUANAJUATO, AC",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,GUANAJUATO
"INDUSTRIAS CHILIMOY, S.A. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",SINALOA
INSTITUTO DE FOMENTO A LA EQUIDAD A.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DURANGO
ER CONSULTORES Y ASESORES S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DURANGO
PRENERGY SUSTENTABLE SA DE CV,ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,JALISCO
"COMERCIALIZADORA TEPIKEÑAS, S.A. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NAYARIT
HONEYWELL INGENIERÍA Y TECNOLOGIA AEROESPACIAL DE MÉXICO S. DE R.L DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
GRUPO ALIMENTARIO FARMACÉUTICA INDUSTRIAL S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",MORELOS
CROWDFUNDING MEXICO SAPI DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,ESTADO DE MEXICO
"MECHANISMS DE SALTILLO, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
SERVICIOS Y GESTION EN TECNOLOGIAS DE INFORMACION SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DURANGO
OPERAIT SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SAN LUIS POTOSI
MANTENIMIENTO GENERAL DE SISTEMAS SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
CONSEJO INTERNACIONAL DE RESPONSABILIDAD SOCIAL PARA LA SUSTENTABILIDAD AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
SOLUCIONES INTEGRALES TECNOLOGICAS SA DE CV,COMERCIO AL POR MAYOR,BAJA CALIFORNIA
SONORA INNOVA S.A. DE C.V.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,SONORA
UNIVERSIDAD MERIDIANO AC,SERVICIOS EDUCATIVOS,GUANAJUATO
AGROESTIMULANTES MEXICANOS SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,AGUASCALIENTES
"TRAMES, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
GANADERIA INTEGRAL VIZUR SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,SINALOA
"CADENA PRODUCTIVA DE LA ELECTRONICA, A.C.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,JALISCO
"ASOCIACION DE INGENIEROS UNIVERSITARIOS MECANICOS ELECTRICISTAS,A.C.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
AUTOMATIZACIÓN Y SOFTWARE S.A DE C.V,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
X-NAX S DE RL DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",JALISCO
"CENTRO TEPOZTLAN, A.C.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,MORELOS
CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL,SERVICIOS EDUCATIVOS,JALISCO
GRUPO INDUSTRIAL PARA EL DESARROLLO EDUCACIONAL SA DE CV,SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"ASTRUM SATELITAL, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
"FEDERACION MEXICANA DE UNIVERSITARIAS, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
PRAXAIR MEXICO S DE RL DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
TERALOC SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MORELOS
TECNICA EMPRESARIAL APLICADA S.A. DE C.V.,SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACION,VERACRUZ
"KU-BO FINANCIERO S.A. DE C.V., S.F.P.",SERVICIOS FINANCIEROS Y DE SEGUROS,DISTRITO FEDERAL
UNION DE QUESEROS Y DERIVADOS LACTEOS DE MIAHUATLAN SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",VERACRUZ
"METAPOL, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",TLAXCALA
"GNIALIDAS, SC",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MICHOACAN 
SOLO CAFE DE CALIDAD S.DE R.L DE C.V,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,VERACRUZ
"PIXCOMP, S. DE R.L. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
"PRODUCTOS NATURALES YUMA, S.C. DE R.L. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",OAXACA
GOBIERNO DEL ESTADO DE TABASCO / INSTITUTO ESTATAL DE LAS MUJERES,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,TABASCO
GABAN SERVICIOS TECNOLOGICOS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MORELOS
IMPRESOS UYEDA S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
CCLP SA DE CV,INFORMACION EN MEDIOS MASIVOS,JALISCO
COMPAÑIA ESTAÑADORA NACIONAL S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
PROYECTOS DE SABORIZACION ENZIMATICA S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",QUERETARO
"MEZCAL DE AMOR S.A.P.I DE C.V. 						","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",DISTRITO FEDERAL
INGENIERÍA EÓLICA Y SOLAR S. DE R.L DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,TAMAULIPAS
FISCHER S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",VERACRUZ
MEXI FOOD S.A. DE C.V.,COMERCIO AL POR MENOR,SINALOA
UNIVERSIDAD POLITÉCNICA METROPOLITANA DE HIDALGO,SERVICIOS EDUCATIVOS,HIDALGO
ALUMINIO Y BRONCES DE SALTILLO SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
DIVERSIFICADORA AGROINDUSTRIAL Y COMERCIALIZADORA DEL TROPICO S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",VERACRUZ
WEG MEXICO SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
"LINKO, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
ZON CALENTADORES SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ZACATECAS
"DEXTER SOLUTIONS, SA DE CV",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,TAMAULIPAS
DESARROLLOS MECATRÓNICOS CATAM S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
"INDUSTRIA AGRICOLA MAYA, S.A. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",YUCATAN
OPERADORA MOGADISCIO BBCS S.A DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIHUAHUA
INDUSTRIAL LODI S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ZACATECAS
"PROCESADORA AGROINDUSTRIAL DEL NORTE, S. DE P.R. DE R.L. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",CHIHUAHUA
ASESORIA EN SISTEMAS Y TECNOLOGIAS ADMINISTRATIVAS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,COAHUILA
GRUPO GM TRANSPORT SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
MAXI-MIZER DE MEXICO S. DE R.L. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",BAJA CALIFORNIA
RECICLADORA CACHANILLA S.A. DE C.V.,SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACION,BAJA CALIFORNIA
"ESPECIFICOS STENDHAL, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
CASA I. TREVIÑO S.A. DE C.V.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,DISTRITO FEDERAL
ENERGY FOREVER SA DE CV,ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,DISTRITO FEDERAL
